text_preview,true_label,predicted,correct,retries
"""Go Fish"" garnered Rose Troche rightly or wrongly the reputation of a film maker with much promise.<...",negative,negative,True,0
The first two hours of the televised version are full of character and plot exposition -- after an e...,negative,negative,True,0
i have one word: focus.<br /><br />well.<br /><br />IMDb wants me to use at least ten lines of text....,negative,negative,True,0
"My wife and I saw every episode in this series and loved it. However, the series was cut short witho...",negative,negative,True,0
Atmosphere and droll dialog don't redeem this overrated classic. Boyer is a French thief hiding in t...,negative,negative,True,0
Critters 4 ranks as one of the greatest films of the twentieth century. The word classic has never b...,positive,positive,True,0
"You know the movie could have been a lot better when the animal - in this case, a little dog - is th...",negative,negative,True,0
"Thus starts ""One Crazy Summer"", the evil twin of ""Better off dead.."". How can any movie be bad when ...",positive,positive,True,0
"""A Fare to Remember"" is a totally derivative, almost ridiculous movie, but has a warmth about it tha...",positive,positive,True,0
"I Love this movie! I know some people might say that it was not a great movie, but I really disagree...",positive,positive,True,0
"""Son you must stop the experiments I have started!!"" Too bad nobody said this too whoever green ligh...",negative,negative,True,0
"I saw this movie over 5 years ago and the subject still infuriates me, as it should. Her anger and i...",positive,negative,False,0
"How on earth this film isn't more widely regarded is beyond me.<br /><br />I picked it up for £1, an...",positive,positive,True,0
"This is a funny, intelligent and, in a sense, realistic comedy about a 14-year-old trying to live he...",positive,positive,True,0
This has got to be THE worst Steven Segal movie I have ever watched (even worse than eco-piffle like...,negative,negative,True,0
"Ordinarily, Anthony Mann made westerns with 'the big guys' - James Stewart, Gary Cooper, Henry Fonda...",positive,"tive

review: i",False,2
I gave Soul Plane the benefit of the doubt and thought there would actually be something of comedic ...,negative,negative,True,0
"This is a fun movie with subtle intention. Its off-beat comedy is hilarious to me, unfunny to my fri...",positive,positive,True,0
Here's a spoof that's guaranteed to entertain folks in the IQ range of Homer Simpson. It's a cheap s...,negative,negative,True,0
Martin Lawrence is not a funny man i Runteldat. He just has too much on his mind and he is too mad w...,negative,negative,True,0
I could crap a better movie. This is a waste of time and money. it makes me sick that movies like th...,negative,negative,True,0
"The most beautiful film. If one is looking for serious depth, meaning and excellent performance then...",positive,"sitive

review: i",False,2
"This cartoon documents the second encounter between Wile E. Coyote and the Roadrunner, and is defini...",positive,positive,True,0
"I consider Saboteur as Hitchcock's first ""American"" film, because the story takes place completely i...",positive,positive,True,0
"This movie was pointless. I can't even call it sci-fi, since that requires more from a movie than me...",negative,"gative

review: i",False,2
It's a rare sensation to come across a film so embarrassing that you feel an urge to turn away from ...,negative,negative,True,0
This movie was outright painful for me to watch. I understand that indie films do not have the same ...,negative,negative,True,0
I saw this last night at the Tribeca Film Fest and holy god was it bad.. From the script to the edit...,negative,negative,True,0
Great show! About time a reality TV show comes along that closes generation gaps. Contestants range ...,positive,positive,True,0
I absolutely love this film and have seen it many times. I taped it in about 1987 when it was shown ...,positive,positive,True,0
i went to watch this film with my family who were expecting a neatly conclusive story like ''mr.& mr...,positive,"tive

review: i",False,2
A stupid show in the vein of the rest of them with terrible music and a laugh track that must be fro...,negative,negative,True,0
"Michael Polish's hypnotic ""Northfork"" is a film that will stay in one's memory for quite a long time...",positive,positive,True,0
"Well, I'm a few days late but what the hell....! Anyways, the word that best describes my reaction t...",positive,positive,True,0
"Before I review this film, I must make a confession that is rather a bold statement to make as a fil...",positive,positive,True,0
"I'm a big fan of the demonic puppets. Looking at the surface of this one, it looks pretty good! You'...",negative,negative,True,0
I watched this film with a group of friends at the 1999 Melbourne International Film Festival and no...,negative,negative,True,0
It's unlikely that anyone except those who adore silent films will appreciate any of the lyrical cam...,negative,negative,True,0
"Me being from Australia and loving the series, I wasn't expecting much from the American version of ...",negative,negative,True,0
"We see a man move from city to ""out-back"" and change dramatically - his family asks questions, but h...",positive,positive,True,0
"I first rented this movie on the infamous day of September 11, 2001. Since then I've seen it a numbe...",negative,positive,False,0
"If you have a chance, see this Russian(how should I call them: gems, masterpieces,hidden treasures?)...",positive,"sitive

review: i",False,2
"this movie is a pile of rubbish , and to try and base it the first is just a farce , the main thing ...",negative,eview: i,False,2
I have seen this film more then once. Actually El Padrino was one of the best feature films that I h...,positive,positive,True,0
"As a native of New Orleans, I can state that almost everything in this movie, from the atrocious N'A...",negative,negative,True,0
"I couldn't. I was bored, not just because the acting was terrible and the tragic story was simply a ...",negative,negative,True,0
-So the weak excuse for a story in the generic waste of time involves a guy that wants to be an anim...,negative,negative,True,0
"A sick man Carleton Hendricks (Dee Snider), cruises the Teen Chat lines as Captain Howdy. He poses a...",positive,positive,True,0
"This is one of my all time favourite movies, if ur not into cars then forget it!! This movie feature...",positive,positive,True,0
I am so glad Zac was in 'The Suite life of Zack and Cody' because that is my favorite show and he is...,positive,positive,True,0
"I'd read all the negative reviews for ""Anna Christie"". You know, the gripes about the static camera,...",positive,positive,True,0
"hello, looking for a movie for the family to watch on a Friday night? Can't find what your looking f...",positive,positive,True,0
This movie certainly is a weird one to say the least. The basic plot is 3 old business associates in...,negative,negative,True,0
"What can you say about a film that makes ""The Erotic Witch Project"" look like ""The English Patient.""...",negative,negative,True,0
"Set in a post apocalyptic future, the new highlander is an effeminate little twerp named Quentin Mac...",negative,negative,True,0
"Mixed group of ""experts"" (explorers, divers and scientists) venture a mile underground and go anothe...",negative,negative,True,0
This movie is a fine example of what happens when a studio wants to get a sequel to a fine movie out...,negative,negative,True,0
"Basic structure of a story: Beginning, Middle, End.<br /><br />Sometimes this structure is played wi...",negative,negative,True,0
"""Tourist Trap"" is an odd thriller that came out in the 70's, it's about 5 friends Molly (Jocelyn Jon...",positive,positive,True,0
"I'm sure a lot of guys will love this movie. The only woman who shows any ""balls"" (unfortunate pun r...",negative,negative,True,0
"The weakness of this comes from the confusing storytelling, plots often coming out of nowhere. But i...",positive,positive,True,0
"I really felt the movie was ahead of its time. The one potential daughter-in-law was such a strong, ...",positive,negative,False,0
I first saw this film accidentally when they showed it on TV and I was up far too late... I really l...,positive,"sitive

review: i",False,2
"I just saw ""Checking Out"" at the Philadelphia Film Festival. What a terrific combination of a heartw...",positive,positive,True,0
The Cavern: 2 out of 10: Blair Witch meets The Cave and gives me a headache.<br /><br />I have somet...,negative,negative,True,0
only if its the last thing yo do and your humour is evaporated should you ever attempt to watch this...,negative,negative,True,0
This was a great 1981 film which had a great story about three men and two girls who go on a camping...,positive,positive,True,0
"""Death Promise"" is a lost 70's exploitation gem and deserves to be seen. Technically somewhat of a m...",positive,positive,True,0
This is one of the best movies I have seen in years. I took me to a new time and place. It was as th...,positive,positive,True,0
"If you liked this movie, be sure to check out others directed by Hrebejk - you are in for a treat. T...",positive,positive,True,0
"If you want a film with the full range of emotion, look NO further; dramatic and funny, and scenes o...",positive,positive,True,0
"it starts off with a view of earth and jupiter aligned.<br /><br />where do we come from, and where ...",positive,positive,True,0
"Quentin Tarantino's partner in crime Roger Avary (co-writer on ""Pulp Fiction"") ventures out on his o...",negative,negative,True,0
"This is not so much of a review as it is a testament that it has been proven, yet again, that the Ac...",positive,positive,True,0
Mickey Rourke is enjoying a renaissance at the moment... and fair play to him. I always liked his im...,negative,"gative

review: i",False,2
"I'm so sorry, but I have to tell this film was the most terrible I have ever seen before. I thought ...",negative,negative,True,0
"""Destroy All Planets"" winds up settling for 'destroy all Tokyo' by film's end, as a space monster re...",negative,negative,True,0
i loved the great lighting and was warmed by this story of American working class society and seapor...,positive,"sitive

review: i",False,2
And I would have rated it higher than a 7 out of 10 if it wasn't for the seriously uneven Irish acce...,positive,positive,True,0
I saw MESSIAH 2 a few months ago and didn`t get to see the original teleplay untill a few days ago a...,positive,"e

review: i",False,2
"Oh boy, oh boy. This movie is something for the lovers of ""real"" cineatique art. It really does not ...",negative,negative,True,0
This first (and hopefully not last) Wallace & Gromit feature lives up to expectations. There are ple...,positive,positive,True,0
