shots,retries,text_preview,final_prediction
0,2,"As I am a fan of hospital and medical shows, I have found this one gripping and sometimes humorous (...","_____________________________________________________________________

positive"
0,2,"So I got this from the rental store where I work before it was released (release is 8/21), just watc...","ositive
negative"
0,1,"""Children of wax"" also shown as ""Killing grounds"" is an interesting mixture of genres. Some might th...",positive
0,2,"I went to the cinema slightly apprehensive, I came out seething with anger at the garbage (passing f...","_____________________________________________________________________

negative"
0,2,This Movie is a warning to all people sat surfing the internet on a typical day at the office. My Wa...,"_____________________________________________________________________

negative"
0,2,"**SPOILERS** I rented ""Tesis"" (or ""Thesis"" in English) on the strength of director Alejandro Amenaba...",gative.  the reviewer
0,2,"great historical movie, will not allow a viewer to leave once you begin to watch. View is presented ...",answer: positive
0,2,Bled is a very apt title for this As you watch it you will feel your life being bled from you . The ...,er: negative
0,2,Im usually wary of movies hovering around the 6/10 mark on IMDb. Id like to think people know what t...,"____________________________________________________________________

positive"
0,2,scarlet coat like most revolution flicks wasnt well received but is nears perfection in the art of m...,"tive
the reviewer"
0,1,"We bought the DVD of ""Walking with Dinosaurs"" and have been nearly ecstatic over the things that are...",positive
0,2,What makes watching and reviewing films a pleasure is when every once in a while when you least expe...,answer: positive
0,2,"''Meet Sherri..for an evening of Pleasure and Terror!'' Cheap special effects,cheesy lines,yep its t...",answer: negative
0,1,"I was looking forward to this movie as everyone was talking about it as being a good horror movie, a...",negative
0,2,"I'm guessing that we all, no matter if we are fans of cars, luv the sound of a Dodge Challenger as i...","ositive

the sentiment of"
0,2,"Slausen's Lost Oasis. . . a place for food, fun. . . and MURDER! After a guy disappears on his way t...",e sentiment of
0,2,I remember when this came out it was the first kung fu film ever seen around our way and we were all...,wer: negative
0,2,"That's how I'd sum it up! There were other who said, Naked Gun meets James Bond. I think mine is mor...","____________________________________________________________________

positive"
0,2,What annoys me with so called 'science' programs such as these is that it is presented as if it were...,"___________________________________________________________________

negative"
0,2,"BBC's 3 hour adaptation of the novel by Sarah Waters...""Fingersmith"". Life is tough without money, e...","itive
reasoning"
0,2,"On the cusp of being insufferable. Somehow I stayed just slightly interested, but was it because I t...","sitive
reasoning"
0,2,"I don't know which was worse, the viewer's made dopes of, or the stars in this movie who look like d...","_________________________________________________________________

negative"
0,2,"To this day, I have never seen Elizabeth Shue in anything else because of the stench of this movie. ...",er: negative
0,2,"Low budget, mostly no name actors. . . this is what a campy horror flick is supposed to be all about...",answer: positive
0,2,"I caught this filmshow about the most unlikely, success? ,from a lower league, football team. The pl...","_________________________________________________________________

positive"
0,2,"I checked this out for free at the library, and I still feel ripped off. Yes, Sandra Bullock is actu...","___________________________________________________________________

negative"
0,2,Cinema's greatest period started in post-War Europe with Italy's Neo-Realist movement. During the ne...,"ive

this review is"
0,2,Circus could have been so much better if they had reduced the number of twists and developed each be...,"ositive
the reviewer"
0,2,"The title is a misnomer:the movie depicts barely one year of the so-called ""divin marquis"" .Twas a h...",the reviewer
0,2,"If like me, you enjoyed the first film ""Bruce Almighty"", my advice to you is not to get your hopes u...",gative.  the reviewer
0,2,"Hi To read the entire plot around ""OZ"" just look at IMDb here to find it.<br /><br />**WARNING SPOIL...","____________________________________________________________________

positive"
0,1,"Oddly, I have very little to say about ""The Box"" so this will be pretty brief. I have never read the...",positive
0,2,This is absolutely beyond question the worst movie I have ever seen. It is so bad in fact that I pla...,nswer: negative
0,2,"Yet another version of mother of all gangster flicks-the Classic ""Godfather"" and yet another case of...","egative

the reviewer critic"
0,2,"The director has no clue. I know ... That is the obvious comment. Maybe, we should delve into the st...","er: 
explanation"
0,2,"Man, I think people have forgotten how to watch a movie. Everyone thinks they're a critic. They comm...","?????

positive"
0,2,What can be said about such a pathetic movie ? <br /><br />- Very bad acting ! The main actress seem...,ve.  this review
0,2,The film was apparently spawned from an idea one of the writers had when he 'saw' one of his creatio...,answer: positive
0,2,"Everything about ""Choose Connor"" was top=drawer, especially the script and the very proficient work ...","____________________________________________________________________

positive"
0,2,I first saw Heimat 2 on BBC2 in the 90's when I was at art college living and moving among artists a...,"ositive

positive. the"
0,2,There is a solid group of people that have lives like this girl going through the admissions process...,"egative

the response starts"
0,2,"S l o w, l o n g, d u l l. . .<br /><br />Oh my god, dull. <br /><br />Characters so annoying - you'...","egative

positive
the"
0,2,"I agree with ""johnlewis"", who said that there is a lot going on between the lines in this film. Whil...","nswer: 
reason"
0,2,saw this movie and totally loved it the characters are great . it is definitely my kind of movie you...,"_____________________________________________________________________

answer"
0,1,I saw this film when it premiered in LA. I think I laughed 2 or three times. The rest of the time I ...,positive
1,2,"As I am a fan of hospital and medical shows, I have found this one gripping and sometimes humorous (...","egative

review: i"
1,2,"So I got this from the rental store where I work before it was released (release is 8/21), just watc...","gative

review: i"
1,2,"""Children of wax"" also shown as ""Killing grounds"" is an interesting mixture of genres. Some might th...","egative

review: i"
1,2,"I went to the cinema slightly apprehensive, I came out seething with anger at the garbage (passing f...","egative

review: i"
1,2,This Movie is a warning to all people sat surfing the internet on a typical day at the office. My Wa...,"egative

review: i"
1,2,"**SPOILERS** I rented ""Tesis"" (or ""Thesis"" in English) on the strength of director Alejandro Amenaba...","gative

review: i"
1,2,"great historical movie, will not allow a viewer to leave once you begin to watch. View is presented ...","ositive

review: i"
1,2,Bled is a very apt title for this As you watch it you will feel your life being bled from you . The ...,"ive

review: i"
1,2,Im usually wary of movies hovering around the 6/10 mark on IMDb. Id like to think people know what t...,"ositive

review: i"
1,2,scarlet coat like most revolution flicks wasnt well received but is nears perfection in the art of m...,"ive

review: i"
1,2,"We bought the DVD of ""Walking with Dinosaurs"" and have been nearly ecstatic over the things that are...","ositive

review: i"
1,2,What makes watching and reviewing films a pleasure is when every once in a while when you least expe...,"ositive

review: i"
1,2,"I was looking forward to this movie as everyone was talking about it as being a good horror movie, a...","egative

review: i"
1,2,"I'm guessing that we all, no matter if we are fans of cars, luv the sound of a Dodge Challenger as i...","egative

review: i"
1,2,"Slausen's Lost Oasis. . . a place for food, fun. . . and MURDER! After a guy disappears on his way t...",view: i
1,2,I remember when this came out it was the first kung fu film ever seen around our way and we were all...,"tive

review: i"
1,2,"That's how I'd sum it up! There were other who said, Naked Gun meets James Bond. I think mine is mor...","ositive

review: i"
1,2,What annoys me with so called 'science' programs such as these is that it is presented as if it were...,"gative

review: i"
1,2,"BBC's 3 hour adaptation of the novel by Sarah Waters...""Fingersmith"". Life is tough without money, e...","tive

review: i"
1,2,"On the cusp of being insufferable. Somehow I stayed just slightly interested, but was it because I t...","ative

review: i"
1,2,"I don't know which was worse, the viewer's made dopes of, or the stars in this movie who look like d...","ive

review: i"
1,2,"To this day, I have never seen Elizabeth Shue in anything else because of the stench of this movie. ...","ive

review: i"
1,2,"Low budget, mostly no name actors. . . this is what a campy horror flick is supposed to be all about...","ositive

review: i"
1,2,"I caught this filmshow about the most unlikely, success? ,from a lower league, football team. The pl...","tive

review: i"
1,2,"I checked this out for free at the library, and I still feel ripped off. Yes, Sandra Bullock is actu...","gative

review: i"
1,2,Cinema's greatest period started in post-War Europe with Italy's Neo-Realist movement. During the ne...,"ive

review: i"
1,2,Circus could have been so much better if they had reduced the number of twists and developed each be...,"gative

review: i"
1,2,"The title is a misnomer:the movie depicts barely one year of the so-called ""divin marquis"" .Twas a h...",review: i
1,2,"If like me, you enjoyed the first film ""Bruce Almighty"", my advice to you is not to get your hopes u...","gative

review: i"
1,2,"Hi To read the entire plot around ""OZ"" just look at IMDb here to find it.<br /><br />**WARNING SPOIL...","egative

review: i"
1,2,"Oddly, I have very little to say about ""The Box"" so this will be pretty brief. I have never read the...","egative

review: i"
1,2,This is absolutely beyond question the worst movie I have ever seen. It is so bad in fact that I pla...,"gative

review: i"
1,2,"Yet another version of mother of all gangster flicks-the Classic ""Godfather"" and yet another case of...","egative

review: i"
1,2,"The director has no clue. I know ... That is the obvious comment. Maybe, we should delve into the st...","ive

review: i"
1,2,What can be said about such a pathetic movie ? <br /><br />- Very bad acting ! The main actress seem...,"ve

review: i"
1,2,The film was apparently spawned from an idea one of the writers had when he 'saw' one of his creatio...,"egative

review: i"
1,2,"Everything about ""Choose Connor"" was top=drawer, especially the script and the very proficient work ...","sitive

review: i"
1,2,I first saw Heimat 2 on BBC2 in the 90's when I was at art college living and moving among artists a...,"ositive

review: i"
1,2,There is a solid group of people that have lives like this girl going through the admissions process...,"egative

review: i"
1,2,"S l o w, l o n g, d u l l. . .<br /><br />Oh my god, dull. <br /><br />Characters so annoying - you'...","egative

review: i"
1,2,"I agree with ""johnlewis"", who said that there is a lot going on between the lines in this film. Whil...","sitive

review: i"
1,2,saw this movie and totally loved it the characters are great . it is definitely my kind of movie you...,"ositive

review: i"
1,2,I saw this film when it premiered in LA. I think I laughed 2 or three times. The rest of the time I ...,"egative

review: i"
3,2,"As I am a fan of hospital and medical shows, I have found this one gripping and sometimes humorous (...","egative

review: i"
