shots,retries,text_preview,final_prediction
0,2,Week after week these women just sweep all the men of their feet. Get real. None of these women are ...,egative.
0,2,it's embarrassing I had like 3 minutes on my way to a job to stop at the video store and it was 2 fo...,gative.
0,2,This lasted several years despite the late hour it was on.<br /><br />Like a lot of 80's crime drama...,"ositive

positive
negative"
0,2,"We bought the DVD of ""Walking with Dinosaurs"" and have been nearly ecstatic over the things that are...","ositive

review: i"
0,2,There is a great danger when you watch a film that had had such a profound affect on you the first t...,"itive

review: i"
0,2,Wow !! I didn't even know about this movie until I was searching for the name of another Mark Hamill...,e.
0,2,Let me begin by saying that I adore the book and loved the A&E miniseries. I was hoping to love this...,ative.
0,2,This is a family movie that was broadcast on my local ITV station at 1.00 am a couple of nights ago ...,
0,2,Have you ever found yourself watching a film or documentary and having to hold yourself back from sc...,gative.
0,2,"This jingoist outing concerns the usual battle Holmes vs. Moriaty,but this time in an effort to save...",itive.
0,2,very straight - not happy with the movie.<br /><br />The main center of the movie is the story where...,ative.
0,2,"The film tells upon the title role,Danton(Gerard Depardieu),confronting against Robespierre(Wojciech...",sitive.
0,2,"If like me, you enjoyed the first film ""Bruce Almighty"", my advice to you is not to get your hopes u...",gative.
0,2,'Identity . . . . I am part of my surroundings and I became separate from them and it's being able ...,.
0,2,A respectable royal rumble event<br /><br />1. Edge Vs Shawn Michaels<br /><br />7.5/10 A very stron...,"e

positive
negative"
0,2,"I came out of ""Dark Blue World"" feeling (sigh) 'so sad' yet it was definitely a film needed to be ma...",gative.
0,2,"First of all,there is a detective story:""légitime défense"" by Belgian Stanislas André Steeman whose ...",ative.
0,2,Alfred Hitchcock invented any kind of thriller you could think of:he set the standards so high that ...,"sitive
negative"
0,2,Lackawana Blues An impressive HBO movie about a beautiful woman that made her house a home for sever...,"ositive

positive
negative"
0,2,"During production, this LWT series was titled 'Rocket To The Moon', a title that everyone on set at ...",egative.
0,2,I bought the video for £13 at HMV (we pay more in Britain) as a friend had told me it was highly rat...,ative.
0,2,"This movie narrate the story of John Belushi,based of his biography `Wired' , wrote by Bob Woodward....","tive
positive
negative"
0,2,The make -or-break of a love story for me is whether or not I like the characters and also if they c...,gative.
0,2,this movie is simply amazing.. unfortunately in Portugal not even a shadow of him... and i agree wit...,"egative

positive
negative"
0,2,"At the least some of the sitcoms that churn endlessly out of the US are honestly bad. This junk, how...",egative.
0,2,I don't know what Chasidik movement was this film about?I saw this film a year ago.I am an Orthodox ...,.
0,2,"i was surprised after watching this piece of crap , if you have seen an episode of TOM and JERRY in ...",gative.
0,2,It's proof that movie makers and their financiers treating their audience with contempt isn't a new ...,sitive. negative
0,2,". . . and never, ever see it. Now, I've been watching bad scifi movies for years. I love watching ba...",gative.
0,2,"It's okay ... a few years later Chayefsky's classic ""Network"" will be his true cinematic BIG home ru...",egative.
0,2,"Don't forget the lover on the side!! She is a 'hottie', Karen Parsons is delicious, she is wonderful...",egative.
0,2,"Another winner from that 50s , 60s era that I love so much for the comedic value they give with each...",view: i
0,2,"Do not watch this movie, go see something else ... I was very disappointed, I cannot rate this movie...",egative.
0,2,"I am a big fan of sci-fi movies. So, when I saw this movie in the EPG, I thought I was in for a plea...",gative.
0,2,"Seriously, I couldn't find anything that constituted a rational human thought in this movie. For som...",gative.
0,2,Otto Preminger was one of the great maverick film directors.Like John Huston he was a character from...,ative.
0,2,Somewhere in the dark recesses of my brain cells a song plays in my head. I can't forget it no matte...,gative.
1,2,Week after week these women just sweep all the men of their feet. Get real. None of these women are ...,"egative

review: i"
1,2,it's embarrassing I had like 3 minutes on my way to a job to stop at the video store and it was 2 fo...,"gative

review: i"
1,2,This lasted several years despite the late hour it was on.<br /><br />Like a lot of 80's crime drama...,"ositive

review: this"
1,2,"We bought the DVD of ""Walking with Dinosaurs"" and have been nearly ecstatic over the things that are...","ositive

review: i"
1,2,There is a great danger when you watch a film that had had such a profound affect on you the first t...,"itive

review: i"
1,2,Wow !! I didn't even know about this movie until I was searching for the name of another Mark Hamill...,"e

review: i"
1,2,Let me begin by saying that I adore the book and loved the A&E miniseries. I was hoping to love this...,"ative

review: i"
1,2,This is a family movie that was broadcast on my local ITV station at 1.00 am a couple of nights ago ...,eview: this
1,2,Have you ever found yourself watching a film or documentary and having to hold yourself back from sc...,"sitive

review: i"
1,2,"This jingoist outing concerns the usual battle Holmes vs. Moriaty,but this time in an effort to save...","itive

review: this"
1,2,very straight - not happy with the movie.<br /><br />The main center of the movie is the story where...,"ative

review: i"
1,2,"The film tells upon the title role,Danton(Gerard Depardieu),confronting against Robespierre(Wojciech...","sitive

review: the"
1,2,"If like me, you enjoyed the first film ""Bruce Almighty"", my advice to you is not to get your hopes u...","gative

review: this"
1,2,'Identity . . . . I am part of my surroundings and I became separate from them and it's being able ...,review: the
1,2,A respectable royal rumble event<br /><br />1. Edge Vs Shawn Michaels<br /><br />7.5/10 A very stron...,"e

review: this"
1,2,"I came out of ""Dark Blue World"" feeling (sigh) 'so sad' yet it was definitely a film needed to be ma...","gative

review: this"
1,2,"First of all,there is a detective story:""légitime défense"" by Belgian Stanislas André Steeman whose ...","itive

review: the"
1,2,Alfred Hitchcock invented any kind of thriller you could think of:he set the standards so high that ...,view: i
1,2,Lackawana Blues An impressive HBO movie about a beautiful woman that made her house a home for sever...,"ositive

review: i"
1,2,"During production, this LWT series was titled 'Rocket To The Moon', a title that everyone on set at ...","egative

review: the"
1,2,I bought the video for £13 at HMV (we pay more in Britain) as a friend had told me it was highly rat...,"ative

review: i"
1,2,"This movie narrate the story of John Belushi,based of his biography `Wired' , wrote by Bob Woodward....","tive

review: this"
1,2,The make -or-break of a love story for me is whether or not I like the characters and also if they c...,"sitive

review: the"
1,2,this movie is simply amazing.. unfortunately in Portugal not even a shadow of him... and i agree wit...,"ositive

review: i"
1,2,"At the least some of the sitcoms that churn endlessly out of the US are honestly bad. This junk, how...","egative

review: i"
1,2,I don't know what Chasidik movement was this film about?I saw this film a year ago.I am an Orthodox ...,review: i
