text_preview,true_label,predicted,correct,retries
"Apparently the film has a harsh anti-Bush message... If it does (I didn't get it), that's all it is....",negative,negative,True,0
"To begin with, I have to admit I've never been a big fan of the Dutch movie-genre. Unfortunately wat...",negative,negative,True,0
I actually found out about Favela Rising via the IMDb website. I have a particular interest in Afro-...,positive,positive,True,0
"****Contains Spoilers****<br /><br />As a fan of Rachael Leigh Cook, I watched for this show to fina...",negative,negative,True,0
"I bought this movie just to see Bam because i was really loving him, but after seeing this i don't l...",positive,positive,True,0
This neo-film noir is one of a genre of late twentieth century American films that all seem to invol...,positive,positive,True,0
"Russians never dropped children's toys filled with explosives over Afghanistan, that never happened!...",negative,negative,True,0
"I kid you not. Yes, ""Who's That Girl"" has the distinction for being one in a string of Madonna's fil...",positive,positive,True,0
"Roger Spottiswoode isn't the worst director, and he did a good job on the underrated sci-fi thriller...",negative,negative,True,0
This movie is really bad. The hero can't play. You see too much that he learned his walking moves by...,negative,negative,True,0
"While ""The Jackal"" [remake of the excellent ""Day of the Jackal""] has better esthetics [and a boatloa...",positive,positive,True,0
There is not much of a plot to this movie. There is a wealthy baseball team owner who dies and whose...,positive,"sitive

review: lars",False,2
THE RED CIRCLE (Jean-Pierre Melville - France/Italy 1970).<br /><br />This might be the coolest film...,positive,positive,True,0
It is fitting that the title character in Sydney White is defined from the beginning of the film by ...,negative,negative,True,0
"""Un Gatto nel Cervello""/""Cat in the Brain"" is one of the goriest horror movies ever made.There is a ...",positive,positive,True,0
"Horrible writing, directing and acting! The writer/director has portrayed Southerners, especially So...",negative,negative,True,0
Miyazaki has been doing his mojo since the 70s and it's only been recently that his movies have made...,positive,positive,True,0
Why would Burt Lancaster allow himself to play a poor schnook who is ultimately undermined by femme ...,negative,negative,True,0
"Every time I watch this film, it just really makes me wanna go out and have a good night! My mate us...",positive,"sitive

review: i",False,2
"Now that's it's 2008, who really has a care in the world about a guy like DB Sweeney, even back then...",negative,"gative

review: i",False,2
I would like to make it very clear that I am not at all religious. I am an atheist but I could see t...,negative,negative,True,0
"....is the boob in the pie. Every thing else in it is an abortion, a malformed failure of a film. At...",negative,"gative

review: lars",False,2
"""Love and Human Remains"" is one of those obviously scripted, obviously acted, obviously staged flick...",negative,negative,True,0
Imagine the worst thing that could ever possibly be conceived by human intellect. Now imagine someth...,negative,negative,True,0
As an avid cinema go-er i felt that whilst i was ranking my favourite movies i felt it only fair to ...,negative,negative,True,0
Many people are standing in front of the house n some women are crying... Men standing in close grou...,negative,"gative

review: i",False,2
Where the Rivers Flow North is a well-told story about two peoples' fight to live their own lives in...,positive,positive,True,0
This movie is simply one of the best movies I have the privilage of owning. It took me years to come...,positive,positive,True,0
A beautiful film about the coming of early silent cinema to China. SHADOW MAGIC deftly combines a lo...,positive,positive,True,0
"This very finely crafted film commits the unforgivable (which is ironic, given the film's theme). No...",negative,negative,True,0
"I really liked this movie, it totally reminds me of my high school days. The soundtrack is awesome. ...",positive,positive,True,0
"The film is visually stunning: from the dusty interior of the church with the lighted stove, through...",negative,negative,True,0
This was the second Cinemascope spectacle that Fox produced after the Robe. Notice how some of the R...,positive,positive,True,0
"I first viewed ""They Died With There Boots On"",about 1970 and though it has been many years since,th...",positive,"sitive

review: i",False,2
"When HULK hit theaters in 2003, it wasn't long before DVDs of the old Incredible Hulk TV show popped...",negative,positive,False,0
"i see there are great reviews of this film already, i've got a few points to comment on, reasons i t...",positive,positive,True,0
"Jennifer Montgomery's ""Art for Teachers of Children"" is a stunning, disturbing masterpiece. Montgome...",positive,positive,True,0
Tu pa tam is one of the worst movies I've ever seen. But on the other hand is better then most of th...,negative,negative,True,0
This excellent movie starring Elizabeth Montgomery is long overdue for release in DVD form. The same...,positive,positive,True,0
My Santa Lucia Choir was chosen to be in this movie. All 100 plus. When it came time to film the mov...,positive,positive,True,0
"At first I didn't think I would like this movie, but as it progressed it became better and better. I...",positive,positive,True,0
"Simply put, Paul Bettany and Jennifer Connelly were remarkable. The movie is less about the raw scie...",positive,positive,True,0
This seventh (yes you read right - the seventh) Puppet Master movie shows how the demented group of ...,negative,negative,True,0
"A year after the release of the average ""House of Frankenstein"", Universal released another Monster ...",positive,positive,True,0
"Besides the fact that this guy is a liar, he is also a total idiot, and a thief in the comedy commun...",negative,negative,True,0
The premise of the story is common enough; average family wants out of the rat race; wants to find t...,positive,positive,True,0
When i watch this movie i too get excited when seen bed scenes of miss world. She has beautiful and ...,positive,negative,False,0
"What a cast...and what a waste of it. Seriously, when a movie has Gabriel Byrne, Jamie Foxx, Thandie...",negative,"gative

review: lars",False,2
The second (not animated) movie about the only people still refusing to surrender to the Roman Empir...,positive,positive,True,0
"What a terrible movie! The acting in this film is about the quality of a high school play, or a stor...",negative,negative,True,0
"I'm a Boorman fan, but this is arguably his least successful film. Comedy has never been his strong ...",negative,positive,False,0
There were two things I hated about WASTED : The directing and the script . I know I`m opening mysel...,negative,,False,2
... a recommendation! Gloria Grahame runs the kind of orphanage where discipline is imparted with a ...,negative,"sitive

review: i",False,2
It's fun to watch a young James Cagney doing his thing. He plays the cheapskate Weights and Measures...,positive,positive,True,0
'Sleight of Hand' is my favorite Rockford Files episode of the entire series. This episode shows a s...,positive,positive,True,0
"Ok, let's get this out of the way first: As a piece of cinema, Lifeforce is rubbish. As a bit of che...",positive,positive,True,0
"I tired on several attempts to sit down and watch this program ""Gilmore Girls"". It baffled me for I ...",negative,negative,True,0
"This wonderful film has never failed to move me. The colour, convincing cast, and stunning scenery a...",positive,positive,True,0
I as a Christian am outraged after seeing just the first half of this picture. The film's website sa...,negative,negative,True,0
"This is the only Pauly Shore movie you should ever see. O.K., it's the only one I've ever seen, and ...",positive,"sitive

review: i",False,2
"I was a teenager when this first appeared in theaters, and I saw it in Japan. The film's plot wasn't...",negative,negative,True,0
This little short absolutely fascinates me.<br /><br />The only thing I've seen thus far like it is ...,positive,positive,True,0
"Flatland is one of my favorite books, thus I was looking forward to this film. Unfortunately, the fi...",negative,negative,True,0
A question immediately arises in this extremely idiosyncratic film: Who are the crazy people?<br /><...,positive,positive,True,0
"Yes, I know that this movie is meant as a comedy! And the humor is over the top! But the theme about...",positive,positive,True,0
I think this movie deserves a 10 out of 10 because it is hilariously funny from start to finish. The...,positive,positive,True,0
"<br /><br />my favorite science fiction, incredible ride through mistrust and the warping of reality...",positive,positive,True,0
"First off, I'm not a firefighter, but I'm in some kind of para-firefighting unit (the guys who get c...",negative,negative,True,0
"Where do I start? The box should have been enough to keep me away from this attempt, but I'd been ta...",negative,negative,True,0
There is a complete copy now available at the Internet Archive - watch it or download it today!<br /...,positive,positive,True,0
"If the caper genre owes a lot to Walter Huston, it also has a debt of gratitude to Jules Dassin, a m...",positive,positive,True,0
"All the comments so far about this movie are negative but I have to say I found ""The Net"" engaging. ...",positive,positive,True,0
Unconditional Love is one of the best movies I've seen in a while. It's an emotional roller-coaster....,positive,positive,True,0
"Directed by E. Elias Merhige ""Begotten"" is an experiment with a few interesting ideas that don't qui...",negative,negative,True,0
"I'm not sure why I picked for a borrow from mom for ""Nurse Betty"". I think just because I had heard ...",positive,positive,True,0
The first time I saw a commercial for this show was when my sisters were watching the Kim Possible m...,negative,negative,True,0
"A British twist on Harold and Maude, Driving Lessons features a reined-in Rupert Grint and an over-t...",positive,positive,True,0
The trailer for this film promised a new twist on the zombie genre: setting it in the Old West. Exce...,negative,negative,True,0
"I heard what people were saying, but I ignored them. Being rushed at Blockbuster I grabbed copy of t...",negative,negative,True,0
"After a man turns up dead, a soldier becomes the prime suspect. Undoubtedly the best film to feature...",positive,positive,True,0
"When Pam Grier made COFFY in 1973, it was an exciting though flawed film. The plot was gritty and sa...",negative,"tive

review: i",False,2
"A Time To Kill is based on John Grisham's first novel, the one he wrote before he was famous, and th...",negative,negative,True,0
"How unfortunate, yet also fortunate, that two films about pot-holing -The Cave and The Descent - sho...",negative,positive,False,0
"and there are not many in cinema history. ""Rouge"" seems to be a bit of a hope. Hope in mankind and i...",positive,positive,True,0
This is a very moving movie about life itself. The challenges a handicapped person must face in a la...,positive,positive,True,0
"This film held my interest enough to watch it several times. The plot has holes, but the lead perfor...",positive,positive,True,0
Tru Calling was good but it could have been great. The concept was intriguing and allowed for seriou...,negative,negative,True,0
"I've been intending to write a review of this film for some time, but only now have I actually manag...",positive,positive,True,0
"I absolutely LOVED this movie! Since I don't want to give much away, it's basically about about a mo...",positive,positive,True,0
"Sex, drugs, racism and of course you ABC's. What more could you want in a kid's show!<br /><br />---...",positive,negative,False,0
"Hartley on low-key form: Martin Donovan, born to play Jesus, comes as Messiah to millenial Manhatten...",positive,positive,True,0
"This is a poor caricature of ""Lonesome Dove"" - and Larry McMurtry.<br /><br />I love your books, wit...",negative,negative,True,0
"Starring: Kelsey Grammar, Rob Schneider, Lauren Holly, Rip Torn This movie is a classic family favor...",positive,positive,True,0
"To put in simple words or rather a word, would be best suited by PATHETIC !!!!!! The movie starts wi...",negative,"ve

review: lars",False,2
"I work at Memorial Hermann Hospital (TMC) and was also working at Texas Children's Hospital, Women's...",negative,negative,True,0
"Sorry I couldn't disagree more ,with the last comments . frankly I thought this was worse than Carry...",negative,iew: i,False,2
"I thought the this film had an interesting name and just might have proved thought provoking, but wa...",negative,negative,True,0
"Let's face it, this is a pretty bad film.However if you go in ready to make fun of it you can surviv...",negative,negative,True,0
Loved this movie! Kicking it old school! Love the idea. Love the script. Love the characters. I real...,positive,positive,True,0
"Lucio Fulci, later known for his graphic horror films like The Beyond and Zombie, was years earlier ...",positive,positive,True,0
The only reason this movie is not given a 1 (awful) vote is that the acting of both Ida Lupino and R...,negative,negative,True,0
This movie has made me a rugby -- and Coach Larry Gelwix -- fan. The story's characters slipped and ...,positive,positive,True,0
There was something about the original three films that made them so special and delightful - probab...,positive,positive,True,0
I couldn't believe that the Adult Swim guys came up with this character. I laughed for days just thi...,positive,positive,True,0
So when I first saw commercials for Greek I did have a few questions to how they were going to appro...,positive,positive,True,0
"I have yet to watch the first entry in this series, however, fortunately, I was still able to follow...",negative,negative,True,0
It is incredible that there were two films with the same story released in 2005. This one came out a...,negative,negative,True,0
Shame on Fox for dumping this movie. It was a total riot and I only hope that it will find a second ...,positive,positive,True,0
...but you can see it from here.<br /><br />I definitely don't understand why anyone would recommend...,negative,"gative

review: lars",False,2
"""The Beguiled"" is a strange work among Clint Eastwood's oeuvre. By 1971 he had become well known as ...",positive,positive,True,0
With all of mainland Europe under his control Hitler prepares for the last obstacle in his way befor...,positive,positive,True,0
"Remember that this came out before Gulf War I, which gave us Werner Herzog's ""Lessons of Darkness"".<...",positive,positive,True,0
"Ah, Batman Returns, is it possible to have a sequel to be almost as good as the original? With Batma...",positive,positive,True,0
eXistenZ combines director David Cronenberg's traditional love of blood and gore and exploding heads...,positive,positive,True,0
"I first saw this film in Austria when it first came out, and I was entranced by it. It is a passiona...",positive,positive,True,0
